;;Metrix | Ciberseguridad. Monitorización. Gestión de flotas.;;;;610 09 95 78;https://metrix.es/;;C. Sorbona, 7, 09001 Burgos, Spain;
;;Cuatroochenta Burgos;;;;947 24 43 58;https://www.checkingplan.com/;;C. Francisco Salinas, 44, 09003 Burgos, Spain;
;;Softeca Internet SL;;;;947 24 50 78;http://www.softeca.es/;;C. Caleruega, nº 53, Local 1, 09001 Burgos, Spain;
;;Moovity;;;;947 65 98 50;http://www.moovity.io/;;Av. Vena, 3, Oficina 4, 09005 Burgos, Spain;
;;Sáiz-Andrade Consultoría Tecnológica SL;;;;947 07 90 69;https://sancotec.com/;;C/Juan Ramón Jimenez s/n P.I. Pentasa III - Nave 250B, C. Juan Ramón Jiménez, 260, 09007 Burgos, Spain;
;;Valsoft Informática;;;;947 23 94 63;https://www.valsoft.es/;;POLIG Parque Empresarial Inbisa, Nave 21E, 09007 Villafría, Burgos, Spain;
;;Keyland Sistemas de Gestión;;;;947 10 35 65;https://www.keyland.es/;;C. Alcalde Martín Cobos, 16B, Oficina 1C, 09007 Burgos, Spain;
;;OfiNet, SL;;;;947 24 41 45;http://www.ofi-net.com/;;Av. Reyes Católicos, 40, 09005 Burgos, Spain;
;;DGH Technological Solutions S.L.;;;;947 25 20 50;http://www.dgh.es/;;C. las Claustrillas, 1, 09001 Burgos, Spain;
;;GISA Consultores Informáticos, S.L.;;;;947 24 44 36;http://www.gisaconsultores.com/;;C. Vitoria, 115, 09006 Burgos, Spain;
;;Equipos Informaticos y Telecomunicaciones;;;;947 25 76 58;https://www.equiposinformaticos.com/;;C. Calzadas, 32, 09004 Burgos, Spain;
;;AC Sistemas - Infotecbur;;;;947 23 78 00;undefined;;Bda. Juan XXIII, 15, bajo, 09007 Burgos, Spain;
;;Teibur SLL;;;;947 05 70 36;http://www.teibur.es/;;C. Mariana Pineda, 16, 09003 Burgos, Spain;
;;Regoluna;;;;613 01 12 94;http://www.regoluna.com/;;C. Jerez, 14, Bajo Derecha, 09006 Burgos, Spain;
;;RSA Informáticos;;;;947 10 20 30;https://www.rsainformaticos.com/;;Av. Cantabria, 79, 09006 Burgos, Spain;
;;NubeBytes;;;;608 56 48 18;https://www.nubebytes.com/;;C. Vitoria, N°75, Oficina 3, 09006 Burgos, Spain;
;;DATA5 | PROTECCIÓN DE DATOS;;;;666 32 05 48;https://data5.es/;;C. de Europa, 5, Bajo, 09001 Burgos, Spain;
;;Inforapps;;;;622 84 13 39;https://www.inforapps.es/;;Pl. de Alonso-Martínez, 8, 2ºA, 09003 Burgos, Spain;
;;Soluciones Informáticas Burgos S.L.;;;;947 48 64 02;http://www.sib.es/;;C/López Bravo, Industrial, 1, Nave 10 Polígono, 09001 Villalonquéjar, Burgos, Spain;
;;Comodoo Desarrollo de software;;;;947 04 99 33;https://www.comodoo.es/;;Avenida de la innovación, s/n, CEEI Dto 40, 09007 Burgos, Spain;
;;Tecnimatica software | Software de gestión para PYMES;;;;916 95 90 65;https://www.tecnimatica.com/;;C. Hospital de San José, 61, 28901 Getafe, Madrid, Spain;
;;Adaptavist Spain;;;;916 89 51 96;http://www.adaptavist.com/;;C. del Alcalde Angel Arroyo, 10, Planta 2, oficina 1, 28904 Getafe, Madrid, Spain;
;;Tecnoderecho Sistemas;;;;914 45 73 74;http://sistemas.tecnoderecho.com/;;C. Diseño, 26, nave 42, 28906 Getafe, Madrid, Spain;
;;Sistemas Informáticos Sur;;;;916 65 02 73;http://www.sis.es/;;Av. Juan Carlos I, 11, 28905 Getafe, Madrid, Spain;
;;UNIVERSONET SOFTWARE FACTORY SL;;;;916 01 01 39;https://www.universonet.es/;;C. Capellanes, 1, 28902 Getafe, Madrid, Spain;
;;Devitel - Desarrollos;;;;916 81 57 95;undefined;;C. Arquitectos, 10, 28903 Getafe, Madrid, Spain;
;;Logic Control - Informática para empresas, ERP - CRM;;;;916 83 97 89;undefined;;C. Serranillos, 28, 28902 Getafe - Madrid, Madrid, Spain;
;;pcsoftware.es;;;;622 00 55 57;http://pcsoftware.es/;;C. Terradas, 1, 28904 Getafe, Madrid, Spain;
;;NAPISA (Naves y Parques Industriales S.A.);;;;915 06 03 61;https://napisa.com/;;C. del Alcalde Angel Arroyo, 4, y 6, 28904 Getafe, Madrid, Spain;
;;La Fábrica de Software;;;;914 67 60 38;http://www.lafabricadesoftware.es/;;C. Leonardo da Vinci, 9, 28946 Fuenlabrada, Madrid, Spain;
;;SECTOR PC;;;;914 91 77 67;http://www.sectorpc.es/;;Av. Juan Carlos I, 11, 28905 Getafe, Madrid, Spain;
;;e-Intelligent;;;;913 32 52 88;http://www.e-intelligent.es/;;Av. Leonardo Da Vinci, 8, 2º planta oficina 227, 28906 Getafe, Madrid, Spain;
;;RESURRECTION PC (Phones&Computers) SOLUCIONES INFORMATICAS-TELEFONIA-TABLETS-SONIDO-ILUMINACIÒN--REPARACIONES ELECTRONICAS.;;;;651 74 32 42;http://www.resurrectionpc.es/;;Paseo Manuel Portela Valladares, Barrio Cerro Buenavista, 1, 28905 Getafe, Madrid, Spain;
;;CNR Getafe;;;;undefined;undefined;;Av. de las Arcas del Agua, 2, 28905 Getafe, Madrid, Spain;
;;Espacio Monsul;;;;610 83 03 06;http://www.monsulcomunicacion.es/;;C. Ricardo de la Vega, 8, 28901 Getafe, Madrid, Spain;
;;Conserr sistemas de construcción S.L.;;;;911 37 39 99;http://www.conserr.com/;;C. Mariano Ron, 4, 28901 Getafe, Madrid, Spain;
;;Y Montajes Industriales systems, S.A.;;;;913 92 09 60;http://www.sistem-group.com/;;Av. Rita Levi Montalcini, 2, 28906 Getafe, Madrid, Spain;
;;InterCiudad;;;;916 65 23 88;https://www.interciudad.com/;;Av. de los Ébanos, 80, 28903 Getafe, Madrid, Spain;
;;PCBOX GETAFE - KLF INFORMATICA;;;;916 83 31 63;http://www.klfinformatica.com/;;C. Violeta Parra, 5, 28903 Getafe, Madrid, Spain;
;;U. S L Corrugados Getafe Group Alfonso Gallardo;;;;914 95 91 00;https://corrugadosgetafe.com/;;C. Carpinteros, 5, 28906 Getafe, Madrid, Spain;
;;La Fábrica de Software;;;;914 67 60 38;http://www.lafabricadesoftware.es/;;C. Leonardo da Vinci, 9, 28946 Fuenlabrada, Madrid, Spain;
;;Necesito Un Informático - Mantenimiento Informático para empresas;;;;916 07 54 63;http://www.necesitouninformatico.com/;;C. de Pelayos, 1, 28944 Fuenlabrada, Madrid, Spain;
;;Diebeck.com;;;;911 72 26 47;https://www.diebeck.com/;;C. de Getafe, 13, 28944 Fuenlabrada, Madrid, Spain;
;;NewGateTechnologies S.L.;;;;910 10 99 22;http://www.newgatetechnologies.es/;;Av. de los Estados, 12, 28945 Fuenlabrada, Madrid, Spain;
;;Fuenlabrada GTP Sistemas S.L.;;;;914 92 09 90;undefined;;C. de Lima, 25, 28945 Fuenlabrada, Madrid, Spain;
;;Vertyce Software y Marketing Online S.L.;;;;undefined;http://enmicalle.es/;;C. de Lima, 69, 28945 Fuenlabrada, Madrid, Spain;
;;Informática Integral para empresas | Deiteco servicios it;;;;910 26 39 02;https://deiteco.com/;;C. de Hontanar, 6, 28944 Fuenlabrada, Madrid, Spain;
;;A5 PROJECT GROUP INGENIERIA Y SISTEMAS S.L.;;;;913 52 07 27;http://grupoa5.com/;;Av. de La Cantueña, 2, 28947 Fuenlabrada, Madrid, Spain;
;;UNAWEB GRUPO TECNOLÓGICO;;;;916 15 24 42;https://unaweb.es/;;C. de Portugal, 33, Local 408, 28943 Fuenlabrada, Madrid, Spain;
;;Babbid - Despachos, oficinas y coWorking en Fuenlabrada;;;;639 87 76 81;https://babbid.com/;;Plaza de la Constitución, 2-3, Planta 2, 28943 Fuenlabrada, Madrid, Spain;
;;Nacarsoft Soluciones Informáticas S.L.;;;;629 69 45 23;https://www.nacarsoft.com/;;C. Costa Rica, 23, 28945 Fuenlabrada, Madrid, Spain;
;;Tecnologías 308;;;;616 74 52 80;undefined;;2B, Martires, 42, 28944 Fuenlabrada, Madrid, Spain;
;;RYD CLOUD. Mantenimiento de sistemas microinformaticos;;;;910 05 99 00;http://www.rydcloud.com/;;C. Lérida, 10, Local 7, 28945 Fuenlabrada, Madrid, Spain;
;;Eco Sistemas Informáticos España SL;;;;undefined;undefined;;C. Arquímedes, 61a, 28946 Fuenlabrada, Madrid, Spain;
;;Confislab - Gestoría y Asesoría Empresas y Autónomos;;;;916 90 12 36;https://confislab.es/;;Plaza de la Constitución, 3, 2ª Planta, 28943 Fuenlabrada, Madrid, Spain;
;;Point purchase;;;;918 33 20 71;undefined;;C. del Uranio, 3, 28918 Fuenlabrada, Madrid, Spain;
;;Multiverse Computing - San Sebastian;;;;943 37 19 56;http://www.multiversecomputing.com/;;Miramon Pasealekua, 170, 20014 Donostia, Gipuzkoa, Spain;
;;Skootik;;;;943 66 78 77;https://skootik.com/;;Miramon Pasealekua, 170, 20014 Donostia, Gipuzkoa, Spain;
;;Syslan;;;;943 56 66 89;http://www.syslan.es/;;C. Portuetxe, 83, piso 1, oficina 7, 20018 San Sebastián, Gipuzkoa, Spain;
;;firma digital para empresas: firma electrónica avanzada y firma biométrica manuscrita;;;;943 44 07 10;http://edatalia.com/;;P.º los Arbustos, 18, 1º Izda, 20009 San Sebastián, Gipuzkoa, Spain;
;;Zitu;;;;943 21 52 70;http://www.zitu.net/;;Zubiberri 29, 1 3. (Edif. Ondarreta, Zuatzu Kalea, 20018 San Sebastián, Gipuzkoa, Spain;
;;Bicode, Consultoría e Ingeniería de Software;;;;687 76 48 69;https://bicode.net/;;Santa Barbara Kalea, 21, 20017 Donostia, Gipuzkoa, Spain;
;;EuskoData S.A. Servicios Tecnológicos;;;;943 31 73 01;http://www.euskodata.com/;;Parque Empresarial Zuatzu, Edificio Urgull Local nº 5, 20018 Donostia, Gipuzkoa, Spain;
;;STT Ingeniería y Sistemas;;;;943 31 77 77;https://www.stt-systems.com/;;Parque Empresarial, Zuatzu Kalea, Edificio 4, Planta 2, 20018 San Sebastián, Gipuzkoa, Spain;
;;Azaroa Informática;;;;676 43 03 80;http://www.azaroainformatica.com/;;Jose Maria Soroa Kalea, 23, 20013 Donostia, Gipuzkoa, Spain;
;;Arima Software Design S.L.;;;;943 59 80 99;http://www.arima.eu/;;Mikeletegi Pasealekua, 69, 20009 Donostia, Gipuzkoa, Spain;
;;Savvy Data Systems - Industria 4.0;;;;943 31 70 74;http://www.savvydatasystems.com/;;Parque tecnológico Zuatzu, Zubiberri 31, Edificio Urumea, planta baja oficina 5, 20018 Donostia, Gipuzkoa, Spain;
;;Insima Teknología;;;;943 49 06 00;http://epsilon-backup.com/;;C / Portuetxe nº 45B, floor 2 office 9, 20018 Donostia, Gipuzkoa, Spain;
;;GEMINYS S.L. - INGENIERÍA DE SOPORTE DOCUMENTAL, E-LEARNING Y DISEÑO INDUSTRIAL PARA TODO EL CICLO DE VIDA DE TU PRODUCTO;;;;943 30 91 02;https://geminys.com/;;Parque Tecnológico de Miramón, Mikeletegi Pasealekua, 55, 20009 Donostia, Gipuzkoa, Spain;
;;Spyro;;;;943 33 51 22;http://www.spyro.es/;;P.º de Miramón, 200, 20014 San Sebastián, Gipuzkoa, Spain;
;;LANDOO, Sistemas de Información S.L;;;;943 56 86 63;https://www.landoo.es/;;Zubiberri bidea 31, pl.2, ofic.3, 20018 San Sebastián, Gipuzkoa, Spain;
;;Innovae Group;;;;943 20 58 61;http://www.innovae.com/;;C. Francisco Grandmontagne, 1, Planta 2, oficina 2, 20018 San Sebastián, Gipuzkoa, Spain;
;;Informática 68 S.A.;;;;undefined;undefined;;1º, Zuatzu Kalea, 4, 20018 Donostia, Gipuzkoa, Spain;
;;Miramon Enpresa Digitala;;;;943 00 09 99;https://enpresadigitala.spri.eus/es/centro/miramon-enpresa-digitala/;;Parque Científico y Tecnológico de Gipuzkoa, Miramon Pasealekua, 170, 3ª planta, 20014 Donostia, Gipuzkoa, Spain;
;;MyRuns RFID;;;;943 24 46 10;https://www.myruns.com/es/inicio;;Iribar Kalea, 9, 20018 Donostia, Gipuzkoa, Spain;
;;AG Informática y Servicios SA;;;;943 44 51 01;https://agissa.com/;;Pedro Cormenzana Kalea, 12, bajo, 20012 Donostia, Gipuzkoa, Spain;
;;Avant-Garde Software;;;;910 14 26 25;http://www.agsw.es/;;Av. Rey Juan Carlos I, 94, 28916 Leganés, Madrid, Spain;
;;Solusoft;;;;916 88 66 44;http://www.solusoft.es/;;Parque Leganés Tecnológico, Av. Juan Caramuel, 27, 28919 Leganés, Madrid, Spain;
;;OriginPath;;;;685 81 97 27;http://originpath.com/;;C. Arquímedes, 4, 28914 Leganés, Madrid, Spain;
;;Zélula Software, S.L.;;;;911 15 52 51;https://www.zelula.net/;;EDIFICIO ARGALIA, Av. Rey Juan Carlos I, 92, 2ª Planta, Oficina 22, 28916 Leganés, Madrid, Spain;
;;Bitergia;;;;undefined;http://bitergia.com/;;Av. Gregorio Peces Barba, 28919 Leganés, Madrid, Spain;
;;Belprosoft S L;;;;916 94 77 50;http://www.belprosoft.com/;;C. de Pablo Freire, 10, 28918 Leganés, Madrid, Spain;
;;LOGIC CONOCIMIENTO;;;;916 85 19 14;https://logic-conocimiento.com/;;AVENIDA REY JUAN CARLOS I, 92 94 96 OFI 216, 28916 Leganés, Madrid, Spain;
;;Ciset Innovation Center;;;;911 46 00 30;https://www.ciset.es/;;C. Margarita Salas, 16, 28919 Leganés, Madrid, Spain;
;;Info Technology Supply - Spain;;;;914 81 18 81;https://www.its-group.com/es;;Av. Rey Juan Carlos I, 84, 28916 Leganés, Madrid, Spain;
;;Sequoia Soluciones S.L;;;;687 70 65 25;http://sequoiasoluciones.com/;;A-42, Km. 8, 28916 Leganés, Madrid, Spain;
;;LESERMA SYSTEMS S.L;;;;635 89 33 79;https://www.lesermasystems.com/;;Pl. Mayor, 21, Oficina 16, 28911 Leganés, Madrid, Spain;
;;Serverus Consultoría Informática;;;;911 13 86 76;undefined;;C. de Ramón y Cajal, 5, Oficina 117, 28914 Leganés, Madrid, Spain;
;;X Frame Software, S.L.;;;;914 98 75 27;undefined;;Calle De Carlos Sáinz, 7 Ofi 1 y 2 Polígono Ciuda, 28914 Leganés, Madrid, Spain;
;;ZETRA IT SERVICES;;;;912 95 57 71;http://www.zetra.es/;;LOCAL, C. del Alcalde Pedro González González, 7, 28914 Leganés, Madrid, Spain;
;;R.D.Sistemas;;;;914 81 04 75;http://www.rdsistemas.com/;;28918, C. Margarita Salas, 34, 28919 Leganés, Madrid, Spain;
;;Macro Software S.L.;;;;916 48 40 56;http://macrosoftware.es/;;C. Miraflores de la Sierra, 11, 28814 Leganés, Madrid, Spain;
;;Alteria Soluciones Informáticas;;;;916 88 31 15;http://www.alteriasoluciones.com/;;C. de los Monegros, 65, 28915 Leganés, Madrid, Spain;
;;SAT Tecnologia - Mantenimiento Informático y Desarrollo Web;;;;916 80 67 83;https://www.sat-tecnologia.com/;;C. de los Pedroches, 58, 28915 Leganés, Madrid, Spain;
;;SOLUCIONES INTELIGENTES PARA LA GESTION DE INFORMACION POR INTERNET SL;;;;913 32 52 88;undefined;;C. Bruselas, 3, 28918 Leganés, Madrid, Spain;
;;Serverus Consultoria Informatica - Mantenimiento informático a empresas;;;;644 46 38 54;undefined;;C. de la Sagra, 9, 28915 Leganés, Madrid, Spain;
;;appsyempresas;;;;620 88 52 96;https://www.appsyempresas.es/;;Av. Reyes Católicos, 38, 6°A, 28802 Alcalá de Henares, Madrid, Spain;
;;Binary Soluciones Informáticas S.L.;;;;911 84 76 00;http://www.binary.es/;;C. Punto Net, 4, 28805 Alcalá de Henares, Madrid, Spain;
;;Soluciones Informáticas ADV, SA;;;;918 82 29 29;http://www.siadv.com/;;Avenida Punto ES, 6 Parque Tecnoalcalá Campus Universidad, Av. Punto Es, 6, 28805 Alcalá de Henares, Madrid, Spain;
;;Efitet;;;;606 31 57 56;http://www.efitet.com/;;C. Francisco Ayala, 28, 28806 Alcalá de Henares, Madrid, Spain;
;;Informática para Empresas;;;;611 36 38 76;https://www.byphygital.com/;;P.º de los Pinos, 2, Local 34a, 28806 Alcalá de Henares, Madrid, Spain;
;;Inyges - Informática y Gestión S.L.;;;;918 83 22 52;https://www.inyges.com/;;Pol. Ind. Camarmilla, C. Holanda, 75, 28802 Alcalá de Henares, Madrid, Spain;
;;CEROS Y UNOS INFORMATICA;;;;918 77 08 71;http://www.cerosyunos.es/;;C. de Talamanca, 21, 28807 Alcalá de Henares, Madrid, Spain;
;;CyberPymes;;;;911 01 94 81;https://www.cyberpymes.com/;;Av. Virgen del Val, 5, 28804 Alcalá de Henares, Madrid, Spain;
;;Namatic Software Services, S.L.;;;;652 83 43 31;undefined;;C. Punto Net, 4, Planta 2, 28805 Alcalá de Henares, Madrid, Spain;
;;Ricopia Henares S.A.;;;;918 02 30 65;https://www.ricopia.com/;;C. Carlos Jiménez Díaz, 2, 28806 Alcalá de Henares, Madrid, Spain;
;;Logistics and telecommunications SL;;;;918 87 12 60;http://logytel.com/;;Av. Punto Es, 4, 28805 Alcalá de Henares, Madrid, Spain;
;;Aulario Software L;;;;911 34 14 67;http://www.aulariosoft.com/;;C. Antonio Suárez, 10, 28802 Alcalá de Henares, Madrid, Spain;
;;Odrival Equipos Y Sistemas Informáticos;;;;696 08 07 09;http://www.odrival.com/;;23 , P.I La Garena, C. Blas Cabrera, 28806 Alcalá de Henares, Madrid, Spain;
;;Prakmatic Madrid;;;;918 77 96 92;http://www.prakmatic.com/;;Av. Miguel de Unamuno, 1, 1º A, 28806 Alcalá de Henares, Madrid, Spain;
;;e-LAND Servicios Digitales;;;;623 03 02 67;https://www.e-land.es/;;C. Blas Cabrera, 23, 28806 Alcalá de Henares, Madrid, Spain;
;;ASPL - Advanced Software Production Line, S.L.;;;;911 34 14 45;https://www.asplhosting.com/;;Torre Garena, Av. Juan Carlos I, 13, 2ºC, 28806 Alcalá de Henares, Madrid, Spain;
;;Anova IT Consulting;;;;918 30 59 77;http://www.anovagroup.es/;;Parque Científico Tecnológico de la Universidad de, C. Punto Mobi, 6, 28805 Alcalá de Henares, Madrid, Spain;
;;Triskel Apps;;;;607 66 40 91;https://triskelapps.com/;;C. Mayor, 26, 28801 Alcalá de Henares, Madrid, Spain;
;;S4GAMING SL;;;;931 66 80 94;undefined;;C. Galileo Galilei, 28, 28806 Alcalá de Henares, Madrid, Spain;
;;IMPORTANTE EMPRESA MULTINACIONAL;;;;686 76 60 94;undefined;;28807 Alcala de Henares, Madrid, Spain;
;;Microdata Software;;;;950 26 80 00;http://microdata.es/;;Pl. de Dalias, Edif. Celulosa II 3º 1, 04007 Almería, Spain;
;;SURáTICA SOFTWARE;;;;950 22 88 15;https://www.suratica.es/;;Av. Mare Nostrum, 69, 04009 Almería, Spain;
;;Indalnova Software SLL;;;;950 85 48 03;http://www.indalnova.com/;;Calle Hermanos Pinzón, 68, 04005 Almería, Spain;
;;Intersoft Ofimatica y Desarrollo, S.L.;;;;950 04 94 00;https://twalmeria.es/;;C. Alcotán, 1, 04009 Almería, Spain;
;;Bullsoft Solutions S.L.;;;;950 21 45 48;http://www.bullsoftsolutions.com/;;Universidad de Almería Edificio PITA University of Almería, Carr. Sacramento, s/n, 04120 La Cañada, Almería, Spain;
;;sgsoftware;;;;950 14 18 26;undefined;;Av. Ntra. Sra. de Montserrat, 74, 04006 Almería, Spain;
;;SinapSysTec - Digital Solutions s.l.;;;;600 73 74 25;https://www.sinapsystec.com/;;C. Magistral Domínguez, 23, 04003 Almería, Spain;
;;Almerimatik Computer Systems S.A.;;;;950 23 22 11;https://www.almerimatik.es/;;C. Maestro Padilla, 2, 04005 Almería, Spain;
;;Bicore;;;;651 88 04 96;https://www.bicore.es/;;Carrera de los Minerales, 1, 04006 Almería, Spain;
;;Libera Digital Consultoría Tecnológica S.L.U;;;;950 03 03 61;https://www.liberadigital.com/;;C. José Artés de Arcos, Nº34, Entreplanta Oficina T, 04004 Almería, Spain;
;;CloudTech S.L;;;;950 88 37 43;http://www.cloudtech.es/;;Parque de Nicolás Salmerón, 33, 04002 Almería, Spain;
;;Codegest S. Coop. And.;;;;950 80 02 01;http://www.codegest.es/;;Carrera del Perú, 48, 04006 Almería, Spain;
;;UNINFO;;;;615 12 82 06;https://www.uninfo.es/;;C. José Artés de Arcos, 34, Oficina V1, 04004 Almería, Spain;
;;Virtual Dor S.L.;;;;950 71 10 51;http://www.virtualdor.com/;;C. Rodrigo Vivas Miras, 51, 04007 Almería, Spain;
;;Alborada Software;;;;undefined;http://www.alboradait.com/;;C. los Gallardos, s/n, 04120 La Cañada de San Urbano, Almería, Almería, Spain;
;;Mclick | Desarrolladores de aplicaciones | Desarrollando ideas;;;;747 46 94 70;https://www.mclick.es/;;C. Real, 101, Bajo Derecha, 04002 Almería, Spain;
;;FactorYdea;;;;910 91 28 01;https://www.factorydea.es/;;P.º de Almería, 20, 2ºA, 04001 Almería, Spain;
;;It Now S A;;;;950 27 44 94;undefined;;Av. Ntra. Sra. de Montserrat, 61, 04006 Almería, Spain;
;;DIWES;;;;601 35 54 08;https://www.diwes.es/;;C. Gloria, 04008 Almería, Spain;
;;Clave Informatica Soft SL;;;;950 62 22 00;http://www.claveinformatica.es/;;Calle Hermanos Pinzón, 26, 04005 Almería, Spain;
;;Gabinete de Software Empresarial;;;;948 19 80 96;https://www.gsesoftware.com/;;Calle Monasterio de Tulebras, 2, 31011 Pamplona, Navarra, Spain;
;;Grupo Axium;;;;948 98 55 82;https://grupoaxium.com/;;Av. Anaitasuna, 17, 31192 Mutilva Alta, Navarra, Spain;
;;iAR;;;;948 06 71 52;http://www.iar-soft.com/;;Av. de Sancho el Fuerte, 26, oficina 8, 31008 Pamplona, Navarra, Spain;
;;Navarweb S.L.;;;;948 10 31 97;https://navarweb.es/;;C. Tajonar, 19, Entreplanta Izquierda, 31006 Pamplona, Navarra, Spain;
;;ACYSOS S.L.;;;;948 23 89 05;http://www.acysos.com/;;C. de Miguel Astráin, 18, 1º A-B, 31006 Pamplona, Navarra, Spain;
;;Codetec Servicios Informaticos SL;;;;948 35 58 33;https://www.codetec.es/;;C. Martín de Zalba, 1, 31016 Pamplona, Navarra, Spain;
;;Icn;;;;948 19 64 02;https://icnavarra.es/;;Tr.ª de Bayona, 2, 31011 Pamplona, Navarra, Spain;
;;Cysnet;;;;948 15 31 40;https://www.cysnet.es/;;C. de Irunlarrea, 13, 31008 Pamplona, Navarra, Spain;
;;TICNA;;;;948 18 33 11;http://ticna.es/;;1º, Av. de Pío XII, 16, 31006 Pamplona, Navarra, Spain;
